1,8,A,E,5,B,4,G,9,7,D,F,2,3,C,6
G,3,C,4,1,7,6,D,5,2,A,8,B,E,9,F
D,2,F,6,8,9,E,A,C,3,B,4,5,7,1,G
5,B,7,9,3,F,C,2,G,1,6,E,8,A,D,4
2,4,5,7,6,D,1,8,3,E,C,A,9,F,G,B
E,1,B,C,9,2,F,7,6,4,G,D,3,8,A,5
6,A,D,3,G,E,B,C,F,8,9,5,1,2,4,7
8,9,G,F,A,4,5,3,2,B,7,1,E,D,6,C
B,D,8,G,2,C,9,4,A,F,1,3,7,6,5,E
7,E,3,1,F,A,G,6,8,C,5,B,D,4,2,9
A,6,4,2,B,1,8,5,7,D,E,9,C,G,F,3
C,F,9,5,D,3,7,E,4,6,2,G,A,1,B,8
4,G,2,A,7,5,D,F,E,9,3,C,6,B,8,1
3,5,1,8,E,G,2,9,B,A,F,6,4,C,7,D
9,7,6,D,C,8,3,B,1,G,4,2,F,5,E,A
F,C,E,B,4,6,A,1,D,5,8,7,G,9,3,2
