7,3,1,5,4,9,E,6,8,D,F,A,B,2,G,C
6,9,A,B,1,8,3,5,4,2,C,G,7,E,D,F
8,E,D,F,G,B,2,C,7,1,9,6,5,4,A,3
G,4,C,2,7,D,F,A,5,E,3,B,8,1,9,6
4,1,9,A,E,7,6,3,B,G,8,2,C,5,F,D
2,D,F,G,C,5,8,9,6,4,A,E,1,7,3,B
5,C,8,3,A,4,D,B,F,9,7,1,2,G,6,E
B,6,7,E,F,1,G,2,C,3,D,5,9,8,4,A
D,8,2,4,3,E,1,F,G,B,6,C,A,9,5,7
F,G,5,1,D,6,B,7,E,A,2,9,3,C,8,4
9,7,E,C,2,G,A,4,3,F,5,8,D,6,B,1
A,B,3,6,5,C,9,8,1,7,4,D,E,F,2,G
C,A,G,D,8,2,7,1,9,6,B,4,F,3,E,5
1,2,6,9,B,3,5,G,D,C,E,F,4,A,7,8
E,5,4,7,9,F,C,D,A,8,G,3,6,B,1,2
3,F,B,8,6,A,4,E,2,5,1,7,G,D,C,9
